"Code";"Code barres";"Désignation";"Désignation 2";"Famille";"Image";"Désactiver";"Nº unités";"Unités";"Dern.prix achat";"Prix 1";"Prix 2";"Prix 3";"Prix 4";"Remise";"Nº TVA";"TVA";"Nº TVA achat";"TVA achat";"Stock minimum";"Stock";"Dt.entrée";"Dt.sortie";"Dt.modification";"Flg Obs.unica";"Flg.preço";"Flg.qtd";"Section 1";"Section 2";"Nº ingrédients";"Nº exemption";"Nº étiquette";"Qté.étiquettes";"Nº balance";"Nº emballage";"Tare fix";"Pourc.givrage";"Poids unitaire";"Code lot";"Durée 1";"Durée 2";"Qté.unité";"Qté.base";"Unit.base";"Qté.minimum";"Qté.maximum";"Qté.défaut";"Btn.font";"Btn.palette";"Btn.couleur";"Nº nutriments";"Flg.assoc.totaliser";"Flg.menu.totaliser"
"01001";"";"Baguette Ordinaire";"";"01";"";"0";"2";"un";"0,00";"0,85";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-511,00";"0000-00-00";"2018-04-04";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01002";"";"1/2 boulot Viennoise";"";"01";"";"0";"2";"un";"0,00";"0,70";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-58,00";"0000-00-00";"2018-04-04";"2018-03-21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01003";"";"Ficelle Speciale";"";"01";"";"0";"2";"un";"0,00";"0,75";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-7,00";"0000-00-00";"2018-04-01";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01004";"";"";"";"01";"";"0";"2";"un";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"0,00";"0000-00-00";"0000-00-00";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01005";"";"1/2 Baguette";"";"01";"";"0";"2";"un";"0,00";"0,45";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-90,00";"0000-00-00";"2018-04-04";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01006";"";"Festive";"";"01";"";"0";"2";"un";"0,00";"1,10";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-3844,00";"0000-00-00";"2018-04-04";"2018-03-15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01007";"";"Croustigraine";"";"01";"";"0";"2";"un";"0,00";"1,05";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-878,00";"0000-00-00";"2018-04-04";"2018-03-17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01008";"";"Bébé  croustigraine";"";"01";"";"0";"2";"un";"0,00";"0,55";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-234,00";"0000-00-00";"2018-04-04";"2018-03-21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01009";"";"Gascon Petit";"";"01";"";"0";"2";"un";"0,00";"0,95";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-57,00";"0000-00-00";"2018-04-04";"2018-03-23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
"01010";"";"Gascon Gros";"";"01";"";"0";"2";"un";"0,00";"1,35";"0,00";"0,00";"0,00";"0,00";"3";"5,50";"0";"0,00";"0,00";"-100,00";"0000-00-00";"2018-04-04";"2018-03-23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,00";"0,00";"0,00";"";"0";"0";"0,00";"0,00";"";"0,00";"0,00";"0,00";"1016016";"9";"-3346930";"0";"0";"0"
