;Code;Code.barres;D�signation;D�signation.2;Famille
1;1001;NA;Baguette Ordinaire;NA;1
2;1002;NA;1/2 boulot Viennoise;NA;1
3;1003;NA;Ficelle Speciale;NA;1
4;1004;NA;;NA;1
5;1005;NA;1/2 Baguette;NA;1
6;1006;NA;Festive;NA;1
7;1007;NA;Croustigraine;NA;1
8;1008;NA;B�b�  croustigraine;NA;1
9;1009;NA;Gascon Petit;NA;1
10;1010;NA;Gascon Gros;NA;1
11;1011;NA;Pave Gros;NA;1
12;1012;NA;Boulot Traditionnel;NA;1
13;1013;NA;Gros Campagne 1kg;NA;1
14;1014;NA;Pain grill�;NA;1
15;1015;NA;Pain FM;NA;1
16;1016;NA;;NA;1
17;1017;NA;Muesli;NA;1
18;1018;NA;Pain ordinaire;NA;1
19;1019;NA;Baguette FM;NA;1
20;1020;NA;Pain dur;NA;1
21;1021;NA;Mais Pain;NA;1
22;1022;NA;Pains tr�s sp�ciaux;NA;1
23;1023;NA;Croissant Ordinaire;NA;2
24;1024;NA;Croissant Beurre;NA;2
25;1025;NA;Brioche Nature;NA;2
26;1026;NA;;NA;1
27;1027;NA;;NA;1
28;1028;NA;Beignet  Nutella;NA;2
29;1029;NA;Mini;NA;2
30;1030;NA;Maxi choco;NA;2
31;1031;NA;Cr�pe;NA;2
32;1032;NA;;NA;1
33;1033;NA;Mini Cannel>Beignet choco;NA;2
34;1034;NA;Lot  Chouquette;NA;2
35;1035;NA;Lot 10 minis;NA;2
36;1036;NA;Mouna;NA;2
37;1037;NA;Cake Citron ou Chocolat;NA;2
38;1038;NA;Oreillettes;NA;2
39;1039;NA;;NA;2
40;1040;NA;Brioche Parisienne;NA;2
41;1041;NA;;NA;1
42;1042;NA;Sarmantine;NA;1
43;1043;NA;#Divers Boulangerie;NA;1
44;1044;NA;1,5;NA;1
45;1045;NA;C�r�ales Noirs;NA;1
46;1046;NA;L�Original;NA;1
47;1047;NA;Pain De Mie Viennois;NA;1
48;1048;NA;Pain De Mie Boule;NA;1
49;1049;NA;Pr�fou Pain a L�Ail;NA;1
50;1050;NA;Baguette Longue;NA;1
51;1051;NA;Baguette Torchon;NA;1
52;1052;NA;Mais Baguette;NA;1
53;1053;NA;Baguette Viennoise Chocolat;NA;1
54;1054;NA;Baguette Viennoise Nature;NA;1
55;1055;NA;1/2 Viennoise chocolat;NA;1
56;1056;NA;Pave Petit;NA;1
57;1057;NA;Rustique Baguette;NA;1
58;1058;NA;Croustigraine Boule;NA;1
59;1059;NA;Boule Grande;NA;1
60;1060;NA;Boule Petite;NA;1
61;1061;NA;Ficelle;NA;1
62;1062;NA;D�jeunette;NA;1
63;1063;NA;Complet;NA;1
64;1064;NA;Seigle;NA;1
65;2001;NA;#Divers Viennois;NA;2
66;2002;NA;Pain aux Raisins;NA;2
67;2003;NA;Suisse /Sacristain;NA;2
68;2004;NA;Pain au Lait;NA;2
69;2005;NA;Lunette Chocolat;NA;2
70;2006;NA;Moelleux Chocolat;NA;2
71;2007;NA;Palmier;NA;2
72;2008;NA;Brownie;NA;2
73;2009;NA;Croissant ou Choco Amandes;NA;2
74;2010;NA;Crepes 3;NA;2
75;2011;NA;Crepes 6;NA;2
76;2012;NA;Cr�pes 12;NA;2
77;2013;NA;Jesuite;NA;2
78;2014;NA;Chausson aux Pommes;NA;2
79;2015;NA;Chausson aux Pruneaux;NA;2
80;2016;NA;Cookies;NA;2
81;2017;NA;Cannele;NA;2
82;2018;NA;Meringue;NA;2
83;2019;NA;Le 100%;NA;2
84;2020;NA;Panetone;NA;2
85;2021;NA;Beignet Pomme ou Framboise;NA;2
86;2022;NA;Brioche Cr�me;NA;2
87;2023;NA;Brioche  Chocolat;NA;2
88;2024;NA;SACHET VIENNOISERIE;NA;2
89;2025;NA;CHOCOLATINE;NA;2
90;2026;NA;CHOCOLATINE AU BEURRE;NA;2
91;2027;NA;BUGNE;NA;2
92;3001;NA;Amandine;NA;3
93;3002;NA;;NA;3
94;3003;NA;;NA;3
95;3004;NA;Flan Nature;NA;3
96;3005;NA;;NA;3
97;3006;NA;Croustade;NA;3
98;3007;NA;;NA;3
99;3008;NA;;NA;3
100;3009;NA;;NA;3
101;3010;NA;;NA;3
102;3011;NA;;NA;3
103;3012;NA;;NA;3
104;3013;NA;;NA;3
105;3014;NA;;NA;3
106;3015;NA;;NA;3
107;3016;NA;Macaron Piece;NA;3
108;3017;NA;;NA;3
109;3018;NA;;NA;3
110;3019;NA;;NA;3
111;3020;NA;;NA;3
112;3021;NA;;NA;3
113;3022;NA;;NA;3
114;3023;NA;;NA;3
115;3024;NA;;NA;3
116;3025;NA;;NA;3
117;3026;NA;;NA;3
118;3027;NA;;NA;3
119;3028;NA;#Divers P�tisserie;NA;3
120;3029;NA;Croquantine;NA;3
121;3030;NA;Basque ind;NA;3
122;3031;NA;Tartelette Grand-Mere;NA;3
123;3032;NA;Tartelette Noix;NA;3
124;3033;NA;Tartelette Fruits Cuits;NA;3
125;3034;NA;Tartelette Fraise ou Framboise;NA;3
126;3035;NA;Tartelette Citron;NA;3
127;3036;NA;Clafoutis Poire IND;NA;3
128;3037;NA;Reli Chantilly;NA;3
129;3038;NA;Choux Creme;NA;3
130;3039;NA;Petit Fours Sucres Piece;NA;3
131;3040;NA;Eclair;NA;3
132;3041;NA;Religieuse;NA;3
133;3042;NA;Baba Bouchon;NA;3
134;3043;NA;Delice...Roncevaux;NA;3
135;3044;NA;Foret Noire / Flan Grille;NA;3
136;3045;NA;Tropezienne;NA;3
137;3046;NA;Nid de Paque Beurre;NA;3
138;3047;NA;Ma Declaration;NA;3
139;3048;NA;Mousse IND;NA;3
140;3049;NA;zBuchette Beurre;NA;3
141;3050;NA;zBuchette Specialite;NA;3
142;3051;NA;Peche;NA;3
143;3052;NA;Chantilly;NA;3
144;3053;NA;Beurre;NA;3
145;3054;NA;Creme Brulee;NA;3
146;3055;NA;Kouign Amann IND;NA;3
147;3056;NA;Tartelette Chocolat Orange;NA;3
148;3057;NA;Tartelette Chocolat;NA;3
149;3058;NA;Saint-Honore Individuel;NA;3
